topo,nodes,lr,batch_size,mixing_steps,local_steps,loss
fc,1,0.001,2000,1,1,0.24936352670192719
fc,1,0.001,2000,1,1,0.24867463111877441
fc,1,0.001,2000,1,1,0.24798832833766937
fc,1,0.001,2000,1,1,0.24730461835861206
fc,1,0.001,2000,1,1,0.2466234713792801
fc,1,0.001,2000,1,1,0.24594490230083466
fc,1,0.001,2000,1,1,0.24526888132095337
fc,1,0.001,2000,1,1,0.24459537863731384
fc,1,0.001,2000,1,1,0.24392442405223846
fc,1,0.001,2000,1,1,0.24325598776340485
fc,1,0.001,2000,1,1,0.2425900399684906
fc,1,0.001,2000,1,1,0.2419266551733017
fc,1,0.001,2000,1,1,0.24126571416854858
fc,1,0.001,2000,1,1,0.24060729146003723
fc,1,0.001,2000,1,1,0.23995131254196167
fc,1,0.001,2000,1,1,0.23929782211780548
fc,1,0.001,2000,1,1,0.23864679038524628
fc,1,0.001,2000,1,1,0.23799817264080048
fc,1,0.001,2000,1,1,0.23735199868679047
fc,1,0.001,2000,1,1,0.23670828342437744
fc,1,0.001,2000,1,1,0.23606698215007782
fc,1,0.001,2000,1,1,0.23542805016040802
fc,1,0.001,2000,1,1,0.23479154706001282
fc,1,0.001,2000,1,1,0.23415741324424744
fc,1,0.001,2000,1,1,0.23352567851543427
fc,1,0.001,2000,1,1,0.23289631307125092
fc,1,0.001,2000,1,1,0.2322693020105362
fc,1,0.001,2000,1,1,0.2316446602344513
fc,1,0.001,2000,1,1,0.23102235794067383
fc,1,0.001,2000,1,1,0.2304023802280426
fc,1,0.001,2000,1,1,0.22978475689888
fc,1,0.001,2000,1,1,0.22916941344738007
fc,1,0.001,2000,1,1,0.22855642437934875
fc,1,0.001,2000,1,1,0.2279457151889801
fc,1,0.001,2000,1,1,0.2273373156785965
fc,1,0.001,2000,1,1,0.22673116624355316
fc,1,0.001,2000,1,1,0.22612732648849487
fc,1,0.001,2000,1,1,0.22552570700645447
fc,1,0.001,2000,1,1,0.22492636740207672
